Number	Name (English)	IPA (English)	Evolves from (English)	Name (Japanese)	Evolves from (Japanese)	Name (French)	Evolves from (French)	Name (Spanish)	Evolves from (Spanish)	Name (German)	Evolves from (German)	Name (Italian)	Evolves from (Italian)	Name (Korean)	Evolves from (Korean)	Name (Mandarin)	Evolves from (Mandarin)	Evolves into (English)	Total evolutionary stages	Evolutionary stage code	Baby	Legendary	Types	Weight (lb)	Weight (kg)	Height (in)	Height (m)	Percentage male	Percentage female	HP	Attack	Defense	Special Attack	Special Defense	Speed	Total Power	Bulbapedia URL
0001	Bulbasaur	ˈbʊlbəsɔːɹ	n/a	fushigidane	n/a	Bulbizarre	n/a	Bulbasaur	n/a	Bisasam	n/a	Bulbasaur	n/a	Isanghessi	n/a	Miàowāzhǒngzǐ	n/a	{'Ivysaur'}	3	3a	False	False	[('Grass', 'Poison')]	15.2	6.9	28	0.7	87.5	12.5	45	49	49	65	65	45	318	"/wiki/Bulbasaur_(Pok%C3%A9mon)"
0002	Ivysaur	ˈaɪviːsɔːɹ	Bulbasaur	fushigisou	fushigidane	Herbizarre	Bulbizarre	Ivysaur	Bulbasaur	Bisaknosp	Bisasam	Ivysaur	Bulbasaur	Isanghepul	Isanghessi	Miàowācǎo	Miàowāzhǒngzǐ	{'Venusaur'}	3	3b	False	False	[('Grass', 'Poison')]	28.7	13.0	39	1.0	87.5	12.5	60	62	63	80	80	60	405	"/wiki/Ivysaur_(Pok%C3%A9mon)"
0003	Venusaur	ˈviːnəsɔːɹ	Ivysaur	fushigibana	fushigisou	Florizarre	Herbizarre	Venusaur	Ivysaur	Bisaflor	Bisaknosp	Venusaur	Ivysaur	Isanghekkot	Isanghepul	Miàowāhuā	Miàowācǎo	n/a	3	3c	False	False	[('Grass', 'Poison')]	220.5	100.0	79	2.0	87.5	12.5	80	82	83	100	100	80	525	"/wiki/Venusaur_(Pok%C3%A9mon)"
0004	Charmander	ˈtʃɑːɹmændɚ	n/a	hitokage	n/a	Salamèche	n/a	Charmander	n/a	Glumanda	n/a	Charmander	n/a	Fairi	n/a	Xiǎohǔolóng	n/a	{'Charmeleon'}	3	3a	False	False	[('Fire',)]	18.7	8.5	24	0.6	87.5	12.5	39	52	43	60	50	65	309	"/wiki/Charmander_(Pok%C3%A9mon)"
0005	Charmeleon	tʃɑːɹˈmiːljən	Charmander	rizaado	hitokage	Reptincel	Salamèche	Charmeleon	Charmander	Glutexo	Glumanda	Charmeleon	Charmander	Rizard	Fairi	Huǒkǒnglóng	Xiǎohǔolóng	{'Charizard'}	3	3b	False	False	[('Fire',)]	41.9	19.0	43	1.1	87.5	12.5	58	64	58	80	65	80	405	"/wiki/Charmeleon_(Pok%C3%A9mon)"
0006	Charizard	ˈtʃɑːɹɪzɑːɹd	Charmeleon	rizaadon	rizaado	Dracaufeu	Reptincel	Charizard	Charmeleon	Glurak	Glutexo	Charizard	Charmeleon	Rizamon	Rizard	Pēnhuǒlóng	Huǒkǒnglóng	n/a	3	3c	False	False	[('Fire', 'Flying')]	199.5	90.5	67	1.7	87.5	12.5	78	84	78	109	85	100	534	"/wiki/Charizard_(Pok%C3%A9mon)"
0007	Squirtle	ˈskwɝːɾəl	n/a	zenigame	n/a	Carapuce	n/a	Squirtle	n/a	Schiggy	n/a	Squirtle	n/a	Kkobugi	n/a	Jiéníguī	n/a	{'Wartortle'}	3	3a	False	False	[('Water',)]	19.8	9.0	20	0.5	87.5	12.5	44	48	65	50	64	43	314	"/wiki/Squirtle_(Pok%C3%A9mon)"
0008	Wartortle	ˈwɔːɹtɔːɹɾəl	Squirtle	kameeru	zenigame	Carabaffe	Carapuce	Wartortle	Squirtle	Schillok	Schiggy	Wartortle	Squirtle	Eonibugi	Kkobugi	Kǎmīguī	Jiéníguī	{'Blastoise'}	3	3b	False	False	[('Water',)]	49.6	22.5	39	1.0	87.5	12.5	59	63	80	65	80	58	405	"/wiki/Wartortle_(Pok%C3%A9mon)"
0009	Blastoise	ˈblæstɔɪs	Wartortle	kamekkusu	kameeru	Tortank	Carabaffe	Blastoise	Wartortle	Turtok	Schillok	Blastoise	Wartortle	Geobugwang	Eonibugi	Shuǐjiànguī	Kǎmīguī	n/a	3	3c	False	False	[('Water',)]	188.5	85.5	63	1.6	87.5	12.5	79	83	100	85	105	78	530	"/wiki/Blastoise_(Pok%C3%A9mon)"
0010	Caterpie	ˈkæɾɚpiː	n/a	kyatapii	n/a	Chenipan	n/a	Caterpie	n/a	Raupy	n/a	Caterpie	n/a	Caterpie	n/a	Lǜmáochóng	n/a	{'Metapod'}	3	3a	False	False	[('Bug',)]	6.4	2.9	12	0.3	50.0	50.0	45	30	35	20	20	45	195	"/wiki/Caterpie_(Pok%C3%A9mon)"
